name,games,gameStarted,minPlayed,fieldGoals,fieldGoalsAttemp,fieldGoalsPerc,point2_Goals,point2_Attemp,point2_Perc,point3_Goals,point3_Attemp,point3_Perc,freeThrows,freeThrowsAttemp,freeThrowsPerc,offensRebounds,deffensRebounds,draft
A'Mari McCray,5.0,2.0,20.0,2.8,7.0,0.4,2.2,5.8,0.379,0.6,1.2,0.5,0.2,1.8,0.111,1.8,2.4,0
A'uston Calhoun,99.0,82.0,28.8,5.3,11.8,0.454,4.9,10.4,0.474,0.4,1.3,0.293,2.4,3.3,0.741,2.1,4.0,0
A.J. Abrams,144.0,108.0,32.5,4.6,11.3,0.407,1.9,4.5,0.419,2.7,6.8,0.399,1.8,2.1,0.864,0.5,1.8,0
A.J. Astroth,71.0,25.0,15.1,1.5,3.4,0.446,1.3,2.6,0.516,0.2,0.8,0.224,1.0,1.6,0.622,1.3,2.5,0
A.J. Atkinson,44.0,1.0,2.1,0.2,0.4,0.438,0.1,0.2,0.625,0.0,0.2,0.25,0.1,0.1,0.6,0.1,0.3,0
A.J. Avery,111.0,32.0,13.3,1.2,2.7,0.457,1.2,2.6,0.459,0.0,0.1,0.4,1.0,1.5,0.658,1.3,1.9,0
A.J. Banks,65.0,48.0,23.7,1.7,3.5,0.498,1.4,2.4,0.557,0.4,1.0,0.358,1.2,1.7,0.722,0.3,2.5,0
A.J. Bowers,14.0,0.0,5.3,0.2,0.3,0.75,0.2,0.2,1.0,0.0,0.1,0.0,0.1,0.1,1.0,0.4,0.6,0
A.J. Burch,6.0,0.0,2.3,0.0,0.7,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.3,0.7,0.5,0.0,0.8,0
A.J. Caldwell,101.0,23.0,22.6,1.7,4.1,0.413,0.7,1.4,0.493,1.0,2.7,0.372,0.2,0.4,0.537,0.5,2.7,0
A.J. Castro,48.0,6.0,11.0,0.9,2.3,0.393,0.6,1.4,0.433,0.3,0.9,0.333,0.6,0.8,0.806,0.1,0.8,0
A.J. Cheeseman,68.0,30.0,17.5,2.6,6.1,0.425,2.5,5.6,0.448,0.1,0.5,0.156,1.9,2.9,0.651,1.1,2.3,0
A.J. Cockrell,32.0,0.0,13.2,1.3,2.8,0.467,1.3,2.8,0.472,0.0,0.0,0.0,0.7,1.3,0.575,1.0,1.1,0
A.J. Hammons,132.0,95.0,24.3,4.6,8.6,0.539,4.6,8.4,0.544,0.0,0.2,0.261,2.7,4.0,0.69,2.4,4.7,0
A.J. Hamrick,5.0,0.0,9.0,1.6,3.0,0.533,1.6,2.8,0.571,0.0,0.2,0.0,0.6,1.2,0.5,2.0,2.4,0
A.J. Hardeman,137.0,96.0,19.1,2.2,4.2,0.515,2.2,4.2,0.517,0.0,0.0,0.0,1.0,2.1,0.493,1.7,2.2,0
A.J. Harris,122.0,103.0,25.5,0.5,2.0,0.256,0.4,1.4,0.28,0.1,0.6,0.2,0.5,1.0,0.552,0.4,1.3,0
A.J. Hawkins,90.0,67.0,25.7,3.2,7.1,0.442,2.9,6.1,0.474,0.3,1.1,0.258,1.7,2.8,0.616,1.4,2.1,0
A.J. Hess,124.0,83.0,24.5,2.8,7.0,0.406,1.1,2.4,0.461,1.8,4.6,0.377,1.5,1.8,0.853,0.4,2.9,0
A.J. Hicks,62.0,55.0,31.7,3.4,8.9,0.384,2.4,5.7,0.424,1.0,3.2,0.313,3.7,5.7,0.642,0.6,2.4,0
A.J. Highsmith,69.0,1.0,5.7,0.7,1.6,0.405,0.2,0.2,0.733,0.5,1.4,0.354,0.1,0.2,0.727,0.1,0.6,0
A.J. Hoggard,43.0,8.0,15.4,1.5,4.0,0.382,1.3,3.2,0.42,0.2,0.7,0.219,0.9,1.5,0.578,0.2,1.6,0
A.J. Holland,26.0,0.0,12.1,0.5,1.8,0.25,0.2,0.8,0.227,0.3,1.0,0.269,0.3,0.5,0.643,0.0,1.0,0
A.J. Martin,32.0,0.0,5.8,0.3,1.0,0.323,0.3,0.7,0.455,0.0,0.3,0.0,0.4,0.5,0.813,0.5,0.5,0
A.J. Mastin,31.0,0.0,7.8,1.1,3.3,0.324,0.3,0.5,0.714,0.7,2.8,0.261,0.2,0.4,0.417,0.3,0.5,0
A.J. Mathew,39.0,0.0,6.0,0.2,0.6,0.304,0.1,0.3,0.25,0.1,0.3,0.364,0.1,0.1,0.6,0.2,0.4,0
A.J. McGinnis,35.0,0.0,13.2,1.9,5.1,0.379,0.6,1.1,0.564,1.3,3.9,0.326,0.2,0.4,0.571,0.1,1.0,0
A.J. Meredith,117.0,76.0,30.4,1.5,4.3,0.347,0.7,2.0,0.333,0.8,2.3,0.358,1.6,2.3,0.704,0.6,2.1,0
A.J. Merriweather,121.0,106.0,24.3,3.2,6.4,0.494,2.6,5.1,0.51,0.6,1.3,0.431,2.0,2.8,0.718,1.5,3.5,0
A.J. Minney,17.0,0.0,4.6,0.2,0.5,0.444,0.2,0.4,0.667,0.0,0.2,0.0,0.2,0.3,0.8,0.2,0.5,0
A.J. Mosby,64.0,61.0,31.6,4.5,9.9,0.457,2.7,5.3,0.513,1.8,4.6,0.394,1.9,2.3,0.834,0.6,4.1,0
A.J. Moye,129.0,33.0,18.9,2.1,4.3,0.487,1.7,3.3,0.522,0.4,1.0,0.371,1.5,2.1,0.73,1.6,2.3,0
A.J. Walker,101.0,88.0,31.1,4.2,9.4,0.453,2.6,5.4,0.494,1.6,4.0,0.398,1.9,2.5,0.747,0.2,2.6,0
A.J. Walton,141.0,87.0,24.2,1.9,4.8,0.401,1.4,3.4,0.429,0.5,1.4,0.333,1.2,1.8,0.653,0.6,2.2,0
A.J. Wilson,21.0,0.0,4.2,0.7,1.0,0.75,0.7,0.9,0.737,0.0,0.0,1.0,0.2,0.4,0.5,0.4,0.9,0
A.W. Hamilton,105.0,81.0,27.9,2.3,6.0,0.386,1.4,3.7,0.387,0.8,2.2,0.384,1.5,1.9,0.831,0.3,1.9,0
AJ Adams,8.0,0.0,5.0,0.3,0.6,0.4,0.3,0.5,0.5,0.0,0.1,0.0,0.1,0.3,0.5,0.1,0.1,0
AJ Allenspach,6.0,0.0,9.2,0.8,2.3,0.357,0.8,2.2,0.385,0.0,0.2,0.0,0.3,1.3,0.25,1.8,1.7,0
AJ Bramah,49.0,24.0,29.5,5.8,10.7,0.545,5.8,10.6,0.548,0.0,0.1,0.2,3.3,4.6,0.722,2.5,6.1,0
AJ Braun,9.0,6.0,17.7,3.3,4.9,0.682,3.3,4.9,0.682,0.0,0.0,0.667,0.9,1.6,0.571,1.1,2.0,0
AJ Brodeur,119.0,119.0,32.2,6.3,12.1,0.524,5.8,10.4,0.558,0.5,1.7,0.308,2.2,3.6,0.625,1.9,5.8,0
AJ Burgin,12.0,0.0,7.0,0.5,2.1,0.24,0.2,0.7,0.25,0.3,1.4,0.235,0.3,0.5,0.667,0.3,0.6,0
AJ Clayton,13.0,0.0,10.8,1.3,3.0,0.436,0.4,0.8,0.455,0.9,2.2,0.429,0.0,0.0,0.667,0.6,1.7,0
AJ Hawkins,22.0,0.0,7.5,0.5,1.1,0.5,0.5,1.1,0.5,0.0,0.0,0.667,0.1,0.3,0.429,0.2,1.2,0
AJ Hoynack,3.0,0.0,4.7,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.3,0.0,1.3,2.3,0.571,0.0,0.7,0
AJ McBride,9.0,0.0,5.0,0.6,1.3,0.417,0.4,0.9,0.5,0.1,0.4,0.25,0.3,1.0,0.333,0.2,0.7,0
AJ West,61.0,54.0,26.7,3.4,7.0,0.494,3.4,7.0,0.495,0.0,0.0,0.0,3.0,4.7,0.626,4.9,4.2,0
Aalim Moor,65.0,2.0,5.5,0.5,1.1,0.438,0.3,0.8,0.449,0.2,0.4,0.417,0.0,0.0,0.333,0.0,0.3,0
Aamahd Walker,17.0,0.0,4.3,0.5,1.2,0.381,0.4,0.9,0.438,0.1,0.3,0.2,0.3,0.5,0.556,0.2,0.5,0
Aamir McCleary,53.0,52.0,30.9,3.7,9.7,0.378,2.6,6.5,0.405,1.1,3.3,0.324,1.9,2.5,0.774,0.5,3.8,0
Aanen Moody,73.0,2.0,18.6,2.6,6.2,0.416,0.7,1.4,0.475,1.9,4.8,0.398,0.5,0.6,0.805,0.2,1.7,0
Aarias Austin,9.0,0.0,13.3,1.9,4.8,0.395,0.8,1.9,0.412,1.1,2.9,0.385,0.6,0.6,1.0,0.0,1.8,0
Aaric Armstead,124.0,113.0,28.5,3.2,8.5,0.374,2.3,5.7,0.409,0.9,2.8,0.305,2.4,3.5,0.678,1.6,3.5,0
Aaric Murray,127.0,101.0,27.0,5.3,11.2,0.477,4.6,9.0,0.509,0.8,2.2,0.347,3.2,4.4,0.73,2.3,4.7,0
Aaris-Monte Bonds,6.0,5.0,21.5,1.2,3.7,0.318,1.0,2.3,0.429,0.2,1.3,0.125,0.8,1.3,0.625,0.8,3.3,0
Aaron Adeoye,92.0,46.0,17.5,1.6,3.6,0.441,1.5,3.3,0.457,0.1,0.3,0.24,0.9,1.4,0.63,1.5,2.7,0
Aaron Agnew,9.0,0.0,1.7,0.1,0.3,0.333,0.1,0.3,0.333,0.0,0.0,0.667,0.0,0.1,0.0,0.2,0.1,0
Aaron Alston,14.0,0.0,7.1,0.6,1.0,0.571,0.6,0.9,0.615,0.0,0.1,0.0,0.4,0.9,0.385,0.4,1.1,0
